Name,stop_id,stop_code,stop_descr,stop_desr_,stop_stree,dierxomene
580007: ΠΛ. ΒΑΣ. ΠΑΥΛΟΥ,"580007","580007",ΠΛ. ΒΑΣ. ΠΑΥΛΟΥ,PL. BAS. PAYLOY,ΛΕΩΦ.ΘΗΣΕΩΣ,"507, 509, 509Β, 536, Α7"
580008: ΠΛ. ΗΦΑΙΣΤΟΥ,"580008","580008",ΠΛ. ΗΦΑΙΣΤΟΥ,PL. HFAISTOY,ΛΕΩΦ.ΘΗΣΕΩΣ,"507, 509, 509Β, 536, Α7"
580009: ΝΑΡΚΙΣΣΟΣ,"580009","580009",ΝΑΡΚΙΣΣΟΣ,NARKISSOS,ΛΕΩΦ.ΘΗΣΕΩΣ,"507, 509, 509Β, 536, Α7"
580010: ΠΛ. ΝΑΡΚΙΣΣΟΥ,"580010","580010",ΠΛ. ΝΑΡΚΙΣΣΟΥ,PL. NARKISSOY,ΛΕΩΦ.ΘΗΣΕΩΣ,"507, 509, 509Β, Α7"
580011: ΑΓ. ΠΑΡΑΣΚΕΥΗ,"580011","580011",ΑΓ. ΠΑΡΑΣΚΕΥΗ,AG. PARASKEYH,ΛΕΩΦ.ΘΗΣΕΩΣ,"507, 509, 509Β, Α7"
580012: 1η ΔΙΟΝΥΣΟΥ,"580012","580012",1η ΔΙΟΝΥΣΟΥ,1st DIONYSOY,ΛΕΩΦ.ΔΙΟΝΥΣΟΥ,"536"
580013: 1η ΔΙΟΝΥΣΟΥ,"580013","580013",1η ΔΙΟΝΥΣΟΥ,1st DIONYSOY,ΛΕΩΦ.ΔΙΟΝΥΣΟΥ,"536"
580014: ΖΑΝΝΕΙΟ,"580014","580014",ΖΑΝΝΕΙΟ,ZANNEIO,ΛΕΩΦ.ΘΗΣΕΩΣ,"507, 509, 509Β, Α7"
580015: ΑΓ. ΠΑΡΑΣΚΕΥΗ,"580015","580015",ΑΓ. ΠΑΡΑΣΚΕΥΗ,AG. PARASKEYH,ΛΕΩΦ.ΘΗΣΕΩΣ,"507, 509, 509Β, Α7"
580016: ΠΛ. ΝΑΡΚΙΣΣΟΥ,"580016","580016",ΠΛ. ΝΑΡΚΙΣΣΟΥ,PL. NARKISSOY,ΛΕΩΦ.ΘΗΣΕΩΣ,"507, 509, 509Β, 536, Α7"
580017: ΝΑΡΚΙΣΣΟΣ,"580017","580017",ΝΑΡΚΙΣΣΟΣ,NARKISSOS,ΛΕΩΦ.ΘΗΣΕΩΣ,"507, 509, 509Β, 536, Α7"
580018: ΠΛ. ΗΦΑΙΣΤΟΥ,"580018","580018",ΠΛ. ΗΦΑΙΣΤΟΥ,PL. HFAISTOY,ΛΕΩΦ.ΘΗΣΕΩΣ,"507, 509, 509Β, 536, Α7"
580019: 1η ΑΓ. ΤΡΙΑΔΟΣ,"580019","580019",1η ΑΓ. ΤΡΙΑΔΟΣ,1st AG. TRIADOS,ΠΑΡΝΗΘΟΣ,"535, 535Α"
580020: 2η ΑΓ. ΤΡΙΑΔΟΣ,"580020","580020",2η ΑΓ. ΤΡΙΑΔΟΣ,2nd AG. TRIADOS,ΠΑΡΝΗΘΟΣ,"535, 535Α"
580021: ΠΛ. ΝΑΡΚΙΣΣΟΥ,"580021","580021",ΠΛ. ΝΑΡΚΙΣΣΟΥ,PL. NARKISSOY,ΛΕΩΦ.ΔΙΟΝΥΣΟΥ,"536"
580022: 2η ΑΓ. ΤΡΙΑΔΟΣ,"580022","580022",2η ΑΓ. ΤΡΙΑΔΟΣ,2nd AG. TRIADOS,ΠΑΡΝΗΘΟΣ,"535, 535Α"
580023: 1η ΑΓ. ΤΡΙΑΔΟΣ,"580023","580023",1η ΑΓ. ΤΡΙΑΔΟΣ,1st AG. TRIADOS,ΠΑΡΝΗΘΟΣ,"535, 535Α"
580024: ΠΛ. ΒΑΣ.ΠΑΥΛΟΥ,"580024","580024",ΠΛ. ΒΑΣ.ΠΑΥΛΟΥ,PL. BAS. PAYLOY,ΠΛ.ΒΑΣ.ΠΑΥΛΟΥ,"507, 509, 509Β, 535, 535Α, 536, Α7"
580025: ΠΛ. ΚΕΝΝΕΝΤΥ,"580025","580025",ΠΛ. ΚΕΝΝΕΝΤΥ,PL. KENNENTY,ΛΕΩΦ.ΘΗΣΕΩΣ,"507, 509, 509Β, 535, 535Α, 536, Α7"
580027: ΑΓ. ΤΡΙΑΔΑ,"580027","580027",ΑΓ. ΤΡΙΑΔΑ,AG. TRIADA,ΔΗΜ.ΛΑΜΠΡΑΚΗ,"535, 535Α"
580028: ΤΡΙΤΩΝ ΝΑΡΚΙΣΣΟΥ,"580028","580028",ΤΡΙΤΩΝ ΝΑΡΚΙΣΣΟΥ,TRITON NARKISSOY,ΛΕΩΦ.ΔΙΟΝΥΣΟΥ,"536"
580030: ΠΑΡΝΗΘΟΣ,"580030","580030",ΠΑΡΝΗΘΟΣ,PARNHTHOS,ΠΑΡΝΗΘΟΣ,"535, 535Α"
58: ΠΕΙΡΑΙΑΣ ΠΛ. ΚΑΡΑΪΣΚΑΚΗ,"58","10224",ΠΕΙΡΑΙΑΣ ΠΛ. ΚΑΡΑΪΣΚΑΚΗ,PEIRAIAS PL. KARAISKAKΗ,,"218, 300, 400, 500, 801, 803, 824, 827, 845, 871, 871Τ, 904, 906, Ε90, Χ96"
590002: 1η ΑΓ. ΚΟΣΜΑ,"590002","590002",1η ΑΓ. ΚΟΣΜΑ,1st AG. KOSMA,ΛΕΩΦ.ΠΟΣΕΙΔΩΝΟΣ,"109, 140, Α1, Α2, Β2, Χ96"
590007: 2η ΑΓ. ΚΟΣΜΑΣ,"590007","590007",2η ΑΓ. ΚΟΣΜΑΣ,2nd AG. KOSMAS,ΛΕΩΦ.ΠΟΣΕΙΔΩΝΟΣ,"109, 140, Α1, Α2, Β2"
590008: 1η ΕΛΛΗΝΙΚΟΥ,"590008","590008",1η ΕΛΛΗΝΙΚΟΥ,1st ELLHNIKOY,ΛΕΩΦ.ΠΟΣΕΙΔΩΝΟΣ,"109, 140, Α1, Α2, Β2"
590009: 2η ΕΛΛΗΝΙΚΟΥ,"590009","590009",2η ΕΛΛΗΝΙΚΟΥ,2nd ELLHNIKOY,ΛΕΩΦ.ΠΟΣΕΙΔΩΝΟΣ,"140, Α1, Α2, Χ96"
590011: 4η ΕΛΛΗΝΙΚΟΥ,"590011","590011",4η ΕΛΛΗΝΙΚΟΥ,4th ELLHNIKOY,ΛΕΩΦ.ΠΟΣΕΙΔΩΝΟΣ,"140, Α1, Α2, Χ96"
590013: ΚΟΛΛΕΓΙΟ,"590013","590013",ΚΟΛΛΕΓΙΟ,KOLLEGIO,ΛΕΩΦ.ΠΟΣΕΙΔΩΝΟΣ,"115, 140, Α1, Α2, Χ96"
590014: 4η ΕΛΛΗΝΙΚΟΥ,"590014","590014",4η ΕΛΛΗΝΙΚΟΥ,4th ELLHNIKOY,ΛΕΩΦ.ΠΟΣΕΙΔΩΝΟΣ,"115, 140, Α1, Α2, Χ96"
590015: 3η ΕΛΛΗΝΙΚΟΥ,"590015","590015",3η ΕΛΛΗΝΙΚΟΥ,3rd ELLHNIKOY,ΛΕΩΦ.ΠΟΣΕΙΔΩΝΟΣ,"115, 140, Α1, Α2"
590016: 2η ΕΛΛΗΝΙΚΟΥ,"590016","590016",2η ΕΛΛΗΝΙΚΟΥ,2nd ELLHNIKOY,ΛΕΩΦ.ΠΟΣΕΙΔΩΝΟΣ,"109, 115, 140, Α1, Α2, Β2, Χ96"
590017: 1η ΕΛΛΗΝΙΚΟΥ,"590017","590017",1η ΕΛΛΗΝΙΚΟΥ,1st ELLHNIKOY,ΛΕΩΦ.ΠΟΣΕΙΔΩΝΟΣ,"109, 115, 140, Α1, Α2, Β2"
590018: 2η ΑΓ. ΚΟΣΜΑΣ,"590018","590018",2η ΑΓ. ΚΟΣΜΑΣ,2nd AG. KOSMAS,ΛΕΩΦ.ΠΟΣΕΙΔΩΝΟΣ,"109, 115, 140, Α1, Α2, Β2"
590019: ΑΘΛΗΤΙΚΟ ΚΕΝΤΡΟ,"590019","590019",ΑΘΛΗΤΙΚΟ ΚΕΝΤΡΟ,ATHLHTIKO KENTRO,ΛΕΩΦ.ΠΟΣΕΙΔΩΝΟΣ,"109, 115, 140, Α1, Α2, Β2"
590020: 1η ΑΓ. ΚΟΣΜΑ,"590020","590020",1η ΑΓ. ΚΟΣΜΑ,1st AG. KOSMA,ΛΕΩΦ.ΠΟΣΕΙΔΩΝΟΣ,"109, 115, 140, Α1, Α2, Β2, Χ96"
590022: 4η ΑΡΓΥΡΟΥΠΟΛΗΣ,"590022","590022",4η ΑΡΓΥΡΟΥΠΟΛΗΣ,4th ARGYROYPOLHS,ΛΕΩΦ.ΒΟΥΛΙΑΓΜΕΝΗΣ,"790, Α3"
590023: ΣΤ. ΑΡΓΥΡΟΥΠΟΛΗ,"590023","590023",ΣΤ. ΑΡΓΥΡΟΥΠΟΛΗ,ST. ARGYROYPOLH,ΛΕΩΦ.ΒΟΥΛΙΑΓΜΕΝΗΣ,"122, 124, 154, 171, 790, Α3"
590024: 6η ΑΡΓΥΡΟΥΠΟΛΗΣ,"590024","590024",6η ΑΡΓΥΡΟΥΠΟΛΗΣ,6th ARGYROYPOLHS,ΛΕΩΦ.ΒΟΥΛΙΑΓΜΕΝΗΣ,"122, 124, 154, 171, 790, Α3"
590027: ΣΤ. ΕΛΛΗΝΙΚΟ,"590027","590027",ΣΤ. ΕΛΛΗΝΙΚΟ,ST. ELLHNIKO,ΛΕΩΦ.ΒΟΥΛΙΑΓΜΕΝΗΣ,"122, 171, 790, Α3, Χ97"
590028: ΓΕΦΥΡΑ,"590028","590028",ΓΕΦΥΡΑ,GEFYRA,ΛΕΩΦ.ΒΟΥΛΙΑΓΜΕΝΗΣ,"122, 171, 205, 790, Α3"
590029: ΓΕΦΥΡΑ,"590029","590029",ΓΕΦΥΡΑ,GEFYRA,ΛΕΩΦ.ΒΟΥΛΙΑΓΜΕΝΗΣ,"122, 171, 205, 790, Α3"
590030: ΣΤ. ΕΛΛΗΝΙΚΟ,"590030","590030",ΣΤ. ΕΛΛΗΝΙΚΟ,ST. ELLHNIKO,ΛΕΩΦ.ΒΟΥΛΙΑΓΜΕΝΗΣ,"122, 171, 205, 790, Α3, Χ97"
590031: ΑΜΕΡΙΚΑΝΙΚΗ ΒΑΣΗ,"590031","590031",ΑΜΕΡΙΚΑΝΙΚΗ ΒΑΣΗ,AMERIKANIKH BASH,ΛΕΩΦ.ΒΟΥΛΙΑΓΜΕΝΗΣ,"122, 124, 154, 171, 790, Α3"
590032: ΛΑΒΑΣΣΑ,"590032","590032",ΛΑΒΑΣΣΑ,LABASSA,ΛΕΩΦ.ΒΟΥΛΙΑΓΜΕΝΗΣ,"122, 124, 154, 171, 790, Α3"
590033: 6η ΑΡΓΥΡΟΥΠΟΛΕΩΣ,"590033","590033",6η ΑΡΓΥΡΟΥΠΟΛΕΩΣ,6th ARGYROYPOLEOS,ΛΕΩΦ.ΒΟΥΛΙΑΓΜΕΝΗΣ,"122, 124, 154, 171, 790, Α3"
590041: ΣΤΡΟΦΗ ΙΑΣΩΝΙΔΟΥ,"590041","590041",ΣΤΡΟΦΗ ΙΑΣΩΝΙΔΟΥ,STROFH IASONIDOY,ΙΑΣΩΝΙΔΟΥ,"124, 154, 205"
590042: ΑΡΓΟΝΑΥΤΩΝ,"590042","590042",ΑΡΓΟΝΑΥΤΩΝ,ARGONAYTON,ΙΑΣΩΝΙΔΟΥ,"124, 154, 205"
590043: ΤΡΑΠΕΖΑ,"590043","590043",ΤΡΑΠΕΖΑ,TRAPEZA,ΙΑΣΩΝΙΔΟΥ,"101, 124, 154, 205"
590044: ΕΚΚΛΗΣΙΑ,"590044","590044",ΕΚΚΛΗΣΙΑ,EKKLHSIA,ΙΑΣΩΝΙΔΟΥ,"101, 124, 154, 205"
590045: ΙΑΣΩΝΙΔΟΥ,"590045","590045",ΙΑΣΩΝΙΔΟΥ,IASONIDOY,ΙΑΣΩΝΙΔΟΥ,"101, 124, 154, 205"
590046: ΓΟΥΝΑΡΗ,"590046","590046",ΓΟΥΝΑΡΗ,GOYNARH,ΙΑΣΩΝΙΔΟΥ,"124, 154, 205"
590047: ΕΚΚΛΗΣΙΑ,"590047","590047",ΕΚΚΛΗΣΙΑ,EKKLHSIA,ΙΑΣΩΝΙΔΟΥ,"101, 124, 154, 205"
590049: ΑΡΓΟΝΑΥΤΩΝ,"590049","590049",ΑΡΓΟΝΑΥΤΩΝ,ARGONAYTON,ΙΑΣΩΝΙΔΟΥ,"124, 154, 205"
590050: ΔΙΑΣΤΑΥΡΩΣΗ ΙΑΣΩΝΙΔΟΥ,"590050","590050",ΔΙΑΣΤΑΥΡΩΣΗ ΙΑΣΩΝΙΔΟΥ,DIASTAYROSH IASONIDOY,ΙΑΣΩΝΙΔΟΥ,"124, 154, 205"
590051: ΑΦΡΟΔΙΤΗΣ,"590051","590051",ΑΦΡΟΔΙΤΗΣ,AFRODITHS,ΤΡΙΠΟΛΕΩΣ,"101"
590053: ΑΦΡΟΔΙΤΗΣ,"590053","590053",ΑΦΡΟΔΙΤΗΣ,AFRODITHS,ΡΙΖΟΥΝΤΟΣ,"101"
590055: Λ. ΛΑΣΚΑΡΙΔΗ,"590055","590055",Λ. ΛΑΣΚΑΡΙΔΗ,L. LASKARIDH,ΤΙΤΑΝΩΝ,"140, 142"
590057: ΚΟΛΛΕΓΙΟ,"590057","590057",ΚΟΛΛΕΓΙΟ,KOLLEGIO,ΛΕΩΦ.ΠΟΣΕΙΔΩΝΟΣ,"140, Α1, Α2, Χ96"
590059: ΤΡΑΠΕΖΑ,"590059","590059",ΤΡΑΠΕΖΑ,TRAPEZA,ΙΑΣΩΝΙΔΟΥ,"101, 124, 154, 205"
590061: ΡΟΔΟΠΟΛΕΩΣ,"590061","590061",ΡΟΔΟΠΟΛΕΩΣ,RODOPOLEOS,ΤΡΙΠΟΛΕΩΣ,"101"
590062: ΡΟΔΟΠΟΛΕΩΣ,"590062","590062",ΡΟΔΟΠΟΛΕΩΣ,RODOPOLEOS,ΡΙΖΟΥΝΤΟΣ,"101"
590072: ΤΙΤΑΝΩΝ,"590072","590072",ΤΙΤΑΝΩΝ,TITANON,ΤΙΤΑΝΩΝ,"140, 142"
590076: ΓΟΥΝΑΡΗ,"590076","590076",ΓΟΥΝΑΡΗ,GOYNARH,ΓΟΥΝΑΡΗ,Β1
590079: ΔΕΛΤΑ,"590079","11570",ΔΕΛΤΑ,DELTA,,"109, Β2"
59: ΔΑΣΟΣ Β,"59","10225",ΔΑΣΟΣ Β,DASOS B,,"803"
600007: ΠΑΝΑΓ. ΓΡΗΓΟΡΟΥΣΗΣ,"600007","600007",ΠΑΝΑΓ. ΓΡΗΓΟΡΟΥΣΗΣ,PANAG. GRHGOROYSHS,ΠΑΝΑΓ.ΓΡΗΓΟΡΟΥΣΗΣ,"735"
600008: ΓΕΦΥΡΑ  ΑΤΤΙΚΗΣ ΟΔΟΥ,"600008","600008",ΓΕΦΥΡΑ  ΑΤΤΙΚΗΣ ΟΔΟΥ,GEFYRA  ATTIKHS ODOY,ΠΑΝΑΓ.ΓΡΗΓΟΡΟΥΣΗΣ,"735"
600009: ΝΑΟΣ ΠΑΝΑΓΙΑΣ,"600009","600009",ΝΑΟΣ ΠΑΝΑΓΙΑΣ,NAOS PANAGIAS,ΠΑΝΑΓ.ΓΡΗΓΟΡΟΥΣΗΣ,"735"
600013: ΕΘΝ. ΑΝΤΙΣΤΑΣΗΣ,"600013","600013",ΕΘΝ. ΑΝΤΙΣΤΑΣΗΣ,ETHN. ANTISTASHS,ΠΑΝΑΓ.ΓΡΗΓΟΡΟΥΣΗΣ,"735"
600016: ΔΙΑΣΤΑΥΡΩΣΗ,"600016","600016",ΔΙΑΣΤΑΥΡΩΣΗ,DIASTAYROSH,28ης ΟΚΤΩΒΡΙΟΥ,"735"
600017: ΓΕΦΥΡΑ  ΑΤΤΙΚΗΣ ΟΔΟΥ,"600017","600017",ΓΕΦΥΡΑ  ΑΤΤΙΚΗΣ ΟΔΟΥ,GEFYRA  ATTIKHS ODOY,ΠΑΝΑΓ.ΓΡΗΓΟΡΟΥΣΗΣ,"735"
600018: ΤΕΠΕΛΕΝΙΟΥ,"600018","600018",ΤΕΠΕΛΕΝΙΟΥ,TEPELENIOY,ΠΑΝΑΓ.ΓΡΗΓΟΡΟΥΣΗΣ,"735"
600019: ΠΑΡΚΟ Κ. ΛΙΑΡΟΣ,"600019","600019",ΠΑΡΚΟ Κ. ΛΙΑΡΟΣ,PARKO K. LIAROS,ΠΑΝΑΓ.ΓΡΗΓΟΡΟΥΣΗΣ,"735"
600027: ΚΟΛΟΚΟΤΡΩΝΗ,"600027","600027",ΚΟΛΟΚΟΤΡΩΝΗ,KOLOKOTRONH,ΠΑΝΑΓ.ΓΡΗΓΟΡΟΥΣΗΣ,"735"
600029: ΠΑΝΑΓ. ΓΡΗΓΟΡΟΥΣΗΣ,"600029","600029",ΠΑΝΑΓ. ΓΡΗΓΟΡΟΥΣΗΣ,PANAG. GRHGOROYSHS,ΠΑΝΑΓ.ΓΡΗΓΟΡΟΥΣΗΣ,"735"
600035: ΣΟΥΛΙΟΥ,"600035","600035",ΣΟΥΛΙΟΥ,SOYLIOY,ΠΑΝΑΓ.ΓΡΗΓΟΡΟΥΣΗΣ,"735"
600045: ΠΑΠΑΝΙΚΟΛΗ,"600045","600045",ΠΑΠΑΝΙΚΟΛΗ,PAPANIKOLH,ΠΑΝΑΓ.ΓΡΗΓΟΡΟΥΣΗΣ,"735"
600048: ΕΘΝ. ΑΝΤΙΣΤΑΣΗΣ,"600048","600048",ΕΘΝ. ΑΝΤΙΣΤΑΣΗΣ,ETHN. ANTISTASHS,ΠΑΝΑΓ.ΓΡΗΓΟΡΟΥΣΗΣ,"735"
602: ΚΑΛΟΓΡΕΖΑ,"602","11774",ΚΑΛΟΓΡΕΖΑ,KALOGREZA,,"602"
608: ΑΚΑΔΗΜΙΑ,"608","11516",ΑΚΑΔΗΜΙΑ,AKADHMIA,ΑΚΑΔΗΜΙΑΣ,"204, 204Β, 608"
609: ΧΑΤΖΗΔΑΚΗ,"609","11773",ΧΑΤΖΗΔΑΚΗ,XATZHDAKH,Λ.ΓΑΛΑΤΣΙΟΥ,"608"
610002: 9η ΚΡΥΟΝΕΡΙΟΥ,"610002","610002",9η ΚΡΥΟΝΕΡΙΟΥ,9th KRYONERIOY,ΛΕΩΦ.ΚΡΥΟΝΕΡΙΟΥ,"509"
610003: 10η ΚΡΥΟΝΕΡΙΟΥ,"610003","610003",10η ΚΡΥΟΝΕΡΙΟΥ,10th KRYONERIOY,ΛΕΩΦ.ΚΡΥΟΝΕΡΙΟΥ,"509"
610004: 12η ΚΡΥΟΝΕΡΙΟΥ ΚΟΙΝΟΤΗΤΑ,"610004","610004",12η ΚΡΥΟΝΕΡΙΟΥ ΚΟΙΝΟΤΗΤΑ,12th KRYONERIOY KOINOTHTA,ΠΛ.ΚΡΥΟΝΕΡΙΟΥ,"509"
610005: 11η ΚΡΥΟΝΕΡΙΟΥ,"610005","610005",11η ΚΡΥΟΝΕΡΙΟΥ,11th KRYONERIOY,ΛΕΩΦ.ΚΡΥΟΝΕΡΙΟΥ,"509"
610006: 10η ΚΡΥΟΝΕΡΙΟΥ,"610006","610006",10η ΚΡΥΟΝΕΡΙΟΥ,10th KRYONERIOY,ΛΕΩΦ.ΚΡΥΟΝΕΡΙΟΥ,"509"
610007: 9η ΚΡΥΟΝΕΡΙΟΥ,"610007","610007",9η ΚΡΥΟΝΕΡΙΟΥ,9th KRYONERIOY,ΛΕΩΦ.ΚΡΥΟΝΕΡΙΟΥ,"509"
610008: 11η ΚΡΥΟΝΕΡΙΟΥ,"610008","610008",11η ΚΡΥΟΝΕΡΙΟΥ,11th KRYONERIOY,ΛΕΩΦ.ΚΡΥΟΝΕΡΙΟΥ,"509"
610009: 12η ΚΟΙΝΟΤΗΤΑ,"610009","610009",12η ΚΟΙΝΟΤΗΤΑ,12th KOINOTHTA,ΛΕΩΦ.ΚΡΥΟΝΕΡΙΟΥ,"509"
610010: ΝΕΑ ΠΛΑΤΕΙΑ,"610010","610010",ΝΕΑ ΠΛΑΤΕΙΑ,NEA PLATEIA,ΛΕΩΦ.ΚΡΥΟΝΕΡΙΟΥ,"509"
610011: 13η ΚΡΥΟΝΕΡΙΟΥ,"610011","610011",13η ΚΡΥΟΝΕΡΙΟΥ,13th KRYONERIOY,ΛΕΩΦ.ΚΡΥΟΝΕΡΙΟΥ,"509"
610012: 13η ΚΡΥΟΝΕΡΙΟΥ,"610012","610012",13η ΚΡΥΟΝΕΡΙΟΥ,13th KRYONERIOY,ΠΛ.ΚΡΥΟΝΕΡΙΟΥ,"509"
610013: 8η ΚΡΥΟΝΕΡΙΟΥ,"610013","610013",8η ΚΡΥΟΝΕΡΙΟΥ,8th KRYONERIOY,ΛΕΩΦ.ΚΡΥΟΝΕΡΙΟΥ,"509"
610014: 8η ΚΡΥΟΝΕΡΙΟΥ,"610014","610014",8η ΚΡΥΟΝΕΡΙΟΥ,8th KRYONERIOY,ΛΕΩΦ.ΚΡΥΟΝΕΡΙΟΥ,"509"
610016: ΔΗΜΟΚΡΑΤΙΑΣ,"610016","11028",ΔΗΜΟΚΡΑΤΙΑΣ,DHMOKRATIAS,ΔΗΜΟΚΡΑΤΙΑΣ,"509"
610030: ΚΑΛΛΙΓΕΡΗ,"610030","11082",ΚΑΛΛΙΓΕΡΗ,KALLIGERH,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ,"509"
610031: ΒΑΖΑΙΟΥ,"610031","11083",ΒΑΖΑΙΟΥ,BAZAIOY,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ,"509"
610032: ΠΑΤΕΛΕΙΚΑ,"610032","11085",ΠΑΤΕΛΕΙΚΑ,PATELEIKA,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ,"509"
610033: ΑΥΓΗΣ,"610033","11086",ΑΥΓΗΣ,AYGHS,ΑΝΟΙΞΕΩΣ,"509"
610034: ΟΥΛΩΦ ΠΑΛΜΕ,"610034","11088",ΟΥΛΩΦ ΠΑΛΜΕ,OYLOF PALME,ΑΝΟΙΞΕΩΣ,"509"
610035: ΕΙΡΗΝΗΣ,"610035","11089",ΕΙΡΗΝΗΣ,EIRHNHS,ΑΝΟΙΞΕΩΣ,"509"
610036: ΥΑΚΙΝΘΟΥ,"610036","11090",ΥΑΚΙΝΘΟΥ,YAKINTHOY,ΑΝΟΙΞΕΩΣ,"509"
610: ΥΓΕΙΟΝΟΜΙΚΟ,"610","11876",ΥΓΕΙΟΝΟΜΙΚΟ,YGEIONOMIKO,Λ. ΑΛΕΞΑΝΔΡΑΣ,"610"
61: ΝΕΑΠΟΛΗ,"61","10227",ΝΕΑΠΟΛΗ,NEAPOLH,,"800, 824, 825, 846, 848, 852"
620001: ΥΠΟΥΡΓΕΙΟ,"620001","620001",ΥΠΟΥΡΓΕΙΟ,YPOYRGEIO,ΣΟΦ.ΒΕΝΙΖΕΛΟΥ,"541, Β9"
620002: ΑΓ. ΒΑΡΒΑΡΑ,"620002","620002",ΑΓ. ΒΑΡΒΑΡΑ,AG. BARBARA,ΣΟΦ.ΒΕΝΙΖΕΛΟΥ,"541, Β9"
620003: 1η ΚΗΦΙΣΙΑΣ,"620003","620003",1η ΚΗΦΙΣΙΑΣ,1st KHFISIAS,ΣΟΦ.ΒΕΝΙΖΕΛΟΥ,Β9
620004: 2η ΚΗΦΙΣΙΑΣ,"620004","620004",2η ΚΗΦΙΣΙΑΣ,2nd KHFISIAS,ΣΟΦ.ΒΕΝΙΖΕΛΟΥ,Β9
620005: 3η ΚΗΦΙΣΙΑΣ,"620005","620005",3η ΚΗΦΙΣΙΑΣ,3rd KHFISIAS,ΣΟΦ.ΒΕΝΙΖΕΛΟΥ,Β9
620007: 4η ΚΗΦΙΣΙΑΣ,"620007","620007",4η ΚΗΦΙΣΙΑΣ,4th KHFISIAS,ΣΟΦ.ΒΕΝΙΖΕΛΟΥ,Β9
620008: 3η ΚΗΦΙΣΙΑΣ,"620008","620008",3η ΚΗΦΙΣΙΑΣ,3rd KHFISIAS,ΣΟΦ.ΒΕΝΙΖΕΛΟΥ,Β9
620009: 2η ΚΗΦΙΣΙΑΣ,"620009","620009",2η ΚΗΦΙΣΙΑΣ,2nd KHFISIAS,ΣΟΦ.ΒΕΝΙΖΕΛΟΥ,Β9
620010: 1η ΚΗΦΙΣΙΑΣ,"620010","620010",1η ΚΗΦΙΣΙΑΣ,1st KHFISIAS,ΣΟΦ.ΒΕΝΙΖΕΛΟΥ,Β9
620011: ΔΗΜΑΡΧΕΙΟ,"620011","620011",ΔΗΜΑΡΧΕΙΟ,DHMARXEIO,ΑΓ.ΒΑΡΒΑΡΑΣ,"541"
620014: ΑΓ. ΒΑΡΒΑΡΑ,"620014","620014",ΑΓ. ΒΑΡΒΑΡΑ,AG. BARBARA,ΣΟΦ.ΒΕΝΙΖΕΛΟΥ,"541, Β9"
620015: ΥΠΟΥΡΓΕΙΟ,"620015","620015",ΥΠΟΥΡΓΕΙΟ,YPOYRGEIO,ΣΟΦ.ΒΕΝΙΖΕΛΟΥ,"541, Β9"
620016: 25ης ΜΑΡΤΙΟΥ,"620016","620016",25ης ΜΑΡΤΙΟΥ,25th MARTIOY,ΛΕΩΦ. ΑΜΑΡΟΥΣΙΟΥ,"541, Α8"
620017: 9η ΑΜΑΡΟΥΣΙΟΥ,"620017","620017",9η ΑΜΑΡΟΥΣΙΟΥ,9th AMAROYSIOY,ΛΕΩΦ.ΑΜΑΡΟΥΣΙΟΥ,"541, Α8"
620018: 8η ΑΜΑΡΟΥΣΙΟΥ,"620018","620018",8η ΑΜΑΡΟΥΣΙΟΥ,8th AMAROYSIOY,ΛΕΩΦ.ΑΜΑΡΟΥΣΙΟΥ,Α8
620019: ΣΜΥΡΝΗΣ,"620019","620019",ΣΜΥΡΝΗΣ,SMYRNHS,ΠΟΛΕΜΙΣΤΩΝ,"541"
620021: ΠΑΙΔΙΚΗ ΧΑΡΑ,"620021","620021",ΠΑΙΔΙΚΗ ΧΑΡΑ,PAIDIKH XARA,Ν.ΠΛΑΣΤΗΡΑ,"541"
620022: ΔΑΒΑΚΗ,"620022","620022",ΔΑΒΑΚΗ,DABAKH,Ν.ΠΛΑΣΤΗΡΑ,"541"
620029: ΖΩΟΔ. ΠΗΓΗ,"620029","620029",ΖΩΟΔ. ΠΗΓΗ,ZOOD. PHGH,ΒΕΡΓΙΝΑΣ,"541"
620030: ΠΕΥΚΩΝ,"620030","620030",ΠΕΥΚΩΝ,PEYKON,ΔΑΣΟΥΣ,"501, 527"
620032: ΑΘ. ΔΙΑΚΟΥ,"620032","620032",ΑΘ. ΔΙΑΚΟΥ,ATH. DIAKOY,ΠΟΛΕΜΙΣΤΩΝ,"541"
620033: ΛΥΚΟΒΡΥΣΕΩΣ,"620033","620033",ΛΥΚΟΒΡΥΣΕΩΣ,LYKOBRYSEOS,ΓΡ.ΛΑΜΠΡΑΚΗ,"541"
630003: 1η ΕΜΑΚ,"630003","630003",1η ΕΜΑΚ,1st EMAK,ΛΕΩΦ.ΚΑΜΑΡΙΟΥ,"864"
630004: SATO,"630004","630004",SATO,SATO,ΛΕΩΦ.ΚΑΜΑΡΙΟΥ,"864"
630005: ΣΧΟΛΕΙΟ,"630005","630005",ΣΧΟΛΕΙΟ,SXOLEIO,ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ,"861, 861Β, 863, 865"
