Name,stop_id,stop_code,stop_descr,stop_desr_,stop_stree,dierxomene
270217: ΤΟΣΙΤΣΑ,"270217","270217",ΤΟΣΙΤΣΑ,TOSITSA,ΤΟΣΙΤΣΑ,"543, 543Α"
270218: 4η ΟΘΩΝΟΣ,"270218","270218",4η ΟΘΩΝΟΣ,4th OTHONOS,ΟΘΩΝΟΣ,"543, 543Α, Β9"
270221: JUMBO,"270221","270221",JUMBO,JUMBO,ΑΗΔΟΝΟΣ,"522, 523"
270222: ΤΡΟΙΖΗΝΙΑΣ,"270222","270222",ΤΡΟΙΖΗΝΙΑΣ,TROIZHNIAS,ΠΑΡΑΔΡ.ΕΘΝ.ΟΔΟΥ,"522"
270225: ΑΝΟΙΞΕΩΣ,"270225","270225",ΑΝΟΙΞΕΩΣ,ANOIXEOS,ΠΛ.ΗΡΩΩΝ ΠΟΛΥΤΕΧΝΕΙΟΥ,"523"
270228: ΠΥΛΟΥ,"270228","270228",ΠΥΛΟΥ,PYLOY,ΠΥΛΟΥ,"523"
270229: FARAN,"270229","270229",FARAN,FARAN,ΑΧΑΙΑΣ,"523"
270230: ΠΛ. ΕΛΑΙΩΝ,"270230","270230",ΠΛ. ΕΛΑΙΩΝ,PL. ELAION,ΙΛΙΣΙΩΝ,"523"
270231: ΑΝΘΟΠΩΛΕΙΑ,"270231","270231",ΑΝΘΟΠΩΛΕΙΑ,ANTHOPOLEIA,ΕΡΥΘΡΑΙΑΣ,"560"
270232: ΓΕΦΥΡΑ ΒΑΡΥΜΠΟΜΠΗΣ,"270232","270232",ΓΕΦΥΡΑ ΒΑΡΥΜΠΟΜΠΗΣ,GEFYRA BARYMPOMPHS,ΕΡΥΘΡΑΙΑΣ,"560"
270234: ΝΟΣΟΚΟΜΕΙΟ,"270234","270234",ΝΟΣΟΚΟΜΕΙΟ,NOSOKOMEIO,ΤΙΜΙΟΥ ΣΤΑΥΡΟΥ,"543, 543Α, 734"
270238: ΠΗΓΩΝ,"270238","11104",ΠΗΓΩΝ,PHGON,,"522"
270239: ΑΓΡΑΥΛΗΣ,"270239","11105",ΑΓΡΑΥΛΗΣ,AGRAYLHS,ΑΓΡΑΥΛΗΣ,"523"
270240: ΚΡΕΟΝΤΟΣ,"270240","11391",ΚΡΕΟΝΤΟΣ,KREONTOS,ΛΑΪΟΥ,543Α
270241: ΠΕΡΟΙΒΙΑΣ,"270241","11389",ΠΕΡΟΙΒΙΑΣ,PEROIBIAS,ΠΕΡΟΙΒΙΑΣ,543Α
270242: ΛΑΪΟΥ,"270242","11390",ΛΑΪΟΥ,LAIOY,ΛΑΪΟΥ,543Α
27: Ν. ΚΥΨΕΛΗ,"27","10186",Ν. ΚΥΨΕΛΗ,N. KYPSELH,,"022"
280001: ΠΕΛΟΠΟΝΝΗΣΟΥ,"280001","280001",ΠΕΛΟΠΟΝΝΗΣΟΥ,PELOPONNHSOY,ΤΑΞΙΑΡΧΩΝ,"400, 750, 810, 830, 831"
280002: ΑΓ. ΑΡΤΕΜΙΟΣ,"280002","280002",ΑΓ. ΑΡΤΕΜΙΟΣ,AG. ARTEMIOS,ΤΑΞΙΑΡΧΩΝ,"400, 810, 831"
280003: ΣΤ. ΚΟΡΥΔΑΛΛΟΣ,"280003","280003",ΣΤ. ΚΟΡΥΔΑΛΛΟΣ,ST. KORYDALLOS,ΤΑΞΙΑΡΧΩΝ,"400, 810, 831"
280005: ΣΟΛΩΜΟΥ,"280005","280005",ΣΟΛΩΜΟΥ,SOLOMOY,ΛΕΩΦ.ΓΡ.ΛΑΜΠΡΑΚΗ,"750, 810, 842, 860"
280006: ΔΗΜΑΡΧΕΙΟ,"280006","280006",ΔΗΜΑΡΧΕΙΟ,DHMARXEIO,ΛΕΩΦ.ΓΡ.ΛΑΜΠΡΑΚΗ,"750, 810, 842, 860"
280007: ΡΙΟ,"280007","280007",ΡΙΟ,RIO,ΛΕΩΦ.ΓΡ.ΛΑΜΠΡΑΚΗ,"750, 810, 842, 860"
280008: 1η ΜΠΟΥΜΠΟΥΛΙΝΑΣ,"280008","280008",1η ΜΠΟΥΜΠΟΥΛΙΝΑΣ,1st MPOYMPOYLINAS,ΜΠΟΥΜΠΟΥΛΙΝΑΣ,"814"
280009: ΦΑΡΜΑΚΕΙΟ,"280009","280009",ΦΑΡΜΑΚΕΙΟ,FARMAKEIO,ΜΠΟΥΜΠΟΥΛΙΝΑΣ,"814"
280010: ΓΚΑΡΑΖ ΔΗΜΟΥ,"280010","280010",ΓΚΑΡΑΖ ΔΗΜΟΥ,GARAZ DHMOY,ΠΟΤΑΜΟΥ,"806, 807, 809, 810, 814"
280011: ΟΔYΣΣΕΩΣ,"280011","280011",ΟΔYΣΣΕΩΣ,ODYSSEOS,ΠΟΤΑΜΟΥ,"806, 807, 809, 810, 814"
280012: ΣΧΟΛΕΙΟ,"280012","280012",ΣΧΟΛΕΙΟ,SXOLEIO,ΔΕΡΒΕΝΑΚΙΩΝ,"806, 807, 809, 810, 814"
280013: ΠΑΛ.ΤΕΡΜΑ,"280013","280013",ΠΑΛ.ΤΕΡΜΑ,PAL.TERMA,ΠΛ.25ης ΜΑΡΤΙΟΥ,"806, 807, 809, 810, 814"
280014: Μ. ΑΣΙΑΣ,"280014","280014",Μ. ΑΣΙΑΣ,M. ASIAS,ΗΠΕΙΡΟΥ,"806, 809"
280015: ΜΕΝΕΛΑΟΥ,"280015","280015",ΜΕΝΕΛΑΟΥ,MENELAOY,ΠΟΤΑΜΟΥ,"806, 807, 809, 810, 814"
280016: ΓΚΑΡΑΖ ΔΗΜΟΥ,"280016","280016",ΓΚΑΡΑΖ ΔΗΜΟΥ,GARAZ DHMOY,ΠΟΤΑΜΟΥ,"806, 807, 809, 810, 814"
280017: ΑΙΓΑΙΟΥ,"280017","280017",ΑΙΓΑΙΟΥ,AIGAIOY,ΗΠΕΙΡΟΥ,"806, 807, 809"
280018: ΙΩΑΝΝΙΝΩΝ,"280018","280018",ΙΩΑΝΝΙΝΩΝ,IOANNINON,ΜΠΟΥΜΠΟΥΛΙΝΑΣ,"806, 807, 814"
280019: 1η ΜΠΟΥΜΠΟΥΛΙΝΑΣ,"280019","280019",1η ΜΠΟΥΜΠΟΥΛΙΝΑΣ,1st MPOYMPOYLINAS,ΜΠΟΥΜΠΟΥΛΙΝΑΣ,"807, 814"
280020: ΡΙΟ,"280020","280020",ΡΙΟ,RIO,ΛΕΩΦ.ΓΡ.ΛΑΜΠΡΑΚΗ,"750, 806, 842, 860"
280021: ΔΗΜΑΡΧΕΙΟ,"280021","280021",ΔΗΜΑΡΧΕΙΟ,DHMARXEIO,ΛΕΩΦ.ΓΡ.ΛΑΜΠΡΑΚΗ,"860"
